Palavra,Contagem,Porcentagem
morte,2055888,10.296571435554476
homicídio,2023596,10.1348423507031
doloso,1349064,6.7565615671354
tentativa,1346620,6.744321201615247
feminicídio,1346620,6.744321201615247
suicídio,703584,3.5237828699390046
roubo,684216,3.4267814790248012
trânsito,674532,3.3782807835677
cumprido,674532,3.3782807835677
prisão,674532,3.3782807835677
esclarecer,674532,3.3782807835677
mortes,674532,3.3782807835677
exceto,674532,3.3782807835677
decorrência,674532,3.3782807835677
indício,674532,3.3782807835677
seguida,674532,3.3782807835677
corporal,674532,3.3782807835677
lesão,674532,3.3782807835677
mandado,674532,3.3782807835677
latrocínio,674532,3.3782807835677
crime,674532,3.3782807835677
seguido,674532,3.3782807835677
agente,61344,0.3072311712226803
estado,61344,0.3072311712226803
arma,29052,0.14550208637130457
apreendida,29052,0.14550208637130457
fogo,29052,0.14550208637130457
pessoa,19368,0.09700139091420305
localizada,9684,0.04850069545710153
desaparecida,9684,0.04850069545710153
estupro,6480,0.032453996960142284
apreensão,6456,0.03233379697140102
veículo,6456,0.03233379697140102
hospitalar,3240,0.016226998480071142
busca,3240,0.016226998480071142
emissão,3240,0.016226998480071142
atendimento,3240,0.016226998480071142
pré,3240,0.016226998480071142
alvarás,3240,0.016226998480071142
intervenção,3240,0.016226998480071142
realização,3240,0.016226998480071142
vistorias,3240,0.016226998480071142
vulnerável,3240,0.016226998480071142
combate,3240,0.016226998480071142
incêndios,3240,0.016226998480071142
licença,3240,0.016226998480071142
salvamento,3240,0.016226998480071142
furto,3228,0.01616689848570051
cocaína,3228,0.01616689848570051
maconha,3228,0.01616689848570051
instituição,3228,0.01616689848570051
financeira,3228,0.01616689848570051
carga,3228,0.01616689848570051
tráfico,3228,0.01616689848570051
drogas,3228,0.01616689848570051
